Name,Price,URL,Delivery Date,Sponsored,Rating,Number of Ratings,Units Sold
amazon basics Heavy Duty Wall Mounted Metal Bookshelf | CD DVD Storage Display for Home | Set of 2 | Black,₹929,https://www.amazon.in/Amazon-Mounted-Bookshelf-Storage-Display/dp/B0CTGK2XC3/ref=sr_1_35,"Fri, 2 Jan",No,4.6,536,200
"Serplex® 20Pcs Furniture Corner Connectors with 120Pcs Screws, Heavy Duty Stainless Steel Angle Corner Connectors Corner Brackets Metal Corner Braces for Wood Cabinets, Shelves, Furniture Assembly",₹478,https://www.amazon.in/Serplex%C2%AE-Furniture-Connectors-Stainless-Brackets/dp/B0DQTG1M7Z/ref=sr_1_36,"Sat, 3 Jan",No,3.9,131,50
"Ikea Marius Stool, White(Seat Diameter: 0.320 M (12 5/8"") Width: 0.400 M (15 3/4"") Seat Height: 0.450 M (17 3/4"")) - Metal",₹630,https://www.amazon.in/Ikea-Marius-Stool-White-Diameter/dp/B07TB9TT9C/ref=sr_1_37,"Wed, 7 Jan",No,4.2,211,50
Crosscut Furniture Metal Floor Lamp with Decorative Shelf (Natural Jute). LED Bulb Included.,"₹1,499",https://www.amazon.in/Crosscut-Furniture-Metal-Decorative-Natural/dp/B0B6SX74W4/ref=sr_1_38,"Mon, 5 Jan",No,4.4,1,100
Velora Queen Metal Bed (Black),"₹7,999",https://www.amazon.in/IAFA-FURNITURE%C2%AE-Velora-Queen-Metal/dp/B0FF56HPB1/ref=sr_1_39,"Sat, 3 Jan, 7 am - 9 pm",No,3.6,16,N/A
"Dulux Simply Refresh Spray Paint | DIY, Quick Drying Gloss Finish for Metal, Wooden Furniture, Plastic, Walls, Cars & Bikes – 400ML (Golden_Brown)",₹260,https://www.amazon.in/Dulux-Simply-Refresh-Drying-finish/dp/B09YVG8DT8/ref=sr_1_40,"Fri, 2 Jan",No,4.0,4,100
"Modern Luxury Round Side Table, Coffee Table & Nesting Table with Beautiful Antique Design, Gold Metal Frame, 2 Teir Design for Livimg Room Furniture","₹1,499",https://www.amazon.in/VUHOME-Nesting-Beautiful-Antique-Furniture/dp/B0FXMWRCWY/ref=sr_1_41,"Sat, 10 Jan",No,5.0,6,N/A
"KSP HOME Heavy Metal Shoe Rack (5 Shelves) Foldable Open Book Shelf, Book Shelve, Shoe Rack, Shoes Storage Rack for Home Shoe Stand Shelf Big (Black Powder Coated)",₹734,https://www.amazon.in/KSP-HOME-Shelves-Foldable-Storage/dp/B0FNQZS6ZG/ref=sr_1_42,"Wed, 7 Jan",No,3.1,3,200
IKEA Bed/Sofa Side Table with Storage Space - Black(37 X 28CM) by STOCKLAND (Metal),"₹1,560",https://www.amazon.in/IKEA-Sofa-Table-Storage-Space/dp/B097ZVB2Z8/ref=sr_1_43,"Thu, 8 Jan",No,3.6,40,N/A
"STAR WORK Black Adjustable Set of 5-Shelf Metal Storage Shelving Unit, Steel Bootless Rivet Utility Display Rack Garage Shelves, 63 Inches Height(63 X 24 X 12 Inch-H X W X D,Black)","₹2,493",https://www.amazon.in/STAR-WORK-Adjustable-Shelving-Bootless/dp/B09SZGXHN3/ref=sr_1_44,"Wed, 7 Jan",No,4.0,7,800
"Callas Modern Nesting Coffee Table Set of 2 with Marble Finish Engineered Wood Top and Gold Metal Frame | Round Living Room Center Table for Sofa Side Home Decor (White, CT-03)","₹1,969",https://www.amazon.in/Callas-Modern-Nesting-Engineered-CT-03/dp/B0G397QZGW/ref=sr_1_45,7 - 10 Jan,No,4.4,23,100
"Dime Store Metal Double Top Side Table, End Table for Living Room Coffee Snack Table for for Living Room Bedroom | Night Stand Table for Bedroom Furniture (Golden & White)","₹1,870",https://www.amazon.in/Dime-Store-Double-Bedroom-Furniture/dp/B0CNSQMD7Q/ref=sr_1_46,"Mon, 5 Jan",No,4.0,165,50
"Nesting Coffee Table, 20"" Round Coffee Table Set of 2, Wooden Nesting Table with Metal Frame, Center Tables for Living Room Bedroom Balcony Bedside Table Gold White","₹2,698",https://www.amazon.in/Bright-Wood-Craft-Nesting-Bedroom/dp/B0FTXF7N73/ref=sr_1_47,"Sat, 10 Jan",No,4.6,95,200
"4 Tier Shoe Rack with Shelf, Folding Shoe Rack for Bedroom, Living Room,Entryway, Black,Footwear Stand for Home, ShoeRack Plastic Home Furniture|Cabinet Shelves 4 Shelf",₹199,https://www.amazon.in/SNKR-ESSENTIALS-Shoe-Rack-Home/dp/B0G29WKZZB/ref=sr_1_48,"Thu, 8 Jan",No,5.0,4,N/A
"Crosscut Furniture LED Tripod Floor Lamp with 3 Shelves, Brown Jute, Metal Corner Floor Lamp, for Decoration and Gifting","₹1,795",https://www.amazon.in/Crosscut-Furniture-Metal-Shelves-Natural/dp/B0B6SXGSD5/ref=sr_1_49,"Sat, 3 Jan",No,4.5,6,N/A
"Heavy-Duty Wall-Mount Metal Shelf 12x10 – Floating Shelf for Projector, Router, TV Setup Box | Matte Black Organizer for Kitchen, Bathroom & Home Decor",₹589,https://www.amazon.in/SHUCHI-Heavy-Duty-Wall-Mount-Metal-Shelf/dp/B0F6KBMYWN/ref=sr_1_50,"Tue, 6 Jan",No,4.5,8,50
wow craft Foldable & Portable Study Table for Home & Office | Multipurpose Laptop & Computer Desk with Engineered Wood Top & Powder-Coated Metal Frame | FS Beech,"₹2,099",https://www.amazon.in/wow-craft-Multipurpose-Engineered-Powder-Coated/dp/B0FV8KKW8J/ref=sr_1_51,"Wed, 7 Jan",No,4.2,5,100
"Wall Mounted Shoe Rack (Set of 3) | Space Saving Metal Shoe Organizer | Vertical Entryway Storage | Minimalist Floating Shoe Shelf for Narrow Hallways, Closets & Doors (Black)","₹1,899",https://www.amazon.in/AJEETSARIYA-FURNITURE-Organizer-Vertical-Minimalist/dp/B0FV3H42JM/ref=sr_1_52,"Fri, 9 Jan",No,5.0,3,N/A
"Heavy Duty Metal Stand 3-Tier Standing Rack for Home, Bathroom Countertop Storage Shelf, Cosmetic Organizer Holder Kitchen Spice Rack, (Black)",₹645,https://www.amazon.in/Cri8Hub-3-Tier-Rack-Countertop-Black/dp/B0F6NBFHX3/ref=sr_1_53,"Mon, 5 Jan",No,4.2,328,500
